Liberal/National Coalition Percentage,StateAb,0-17,18-34,50-64,65-79,80+,One parent family,Median weekly household income,Medain monthly mortgage repayments,Owned outright,Overseas,Recent Migrant,LOTE spoken at home,Partially engaged,At least partially engaged,Not engaged,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Machinery Operators and Drivers,Labourers,Not stated,Year 12 equivalent,.fitted,.resid,.std.resid,.hat,.sigma,.cooksd
41.82,SA,0.179,0.313,0.166,0.102,0.045,0.158,1298,1733,0.266,0.35,0.176,0.346,0.171,0.027,0.178,0.123,0.294,0.103,0.114,0.13,0.041,0.091,0.006,0.824,42.204332314529516,-0.3843323145295159,-0.09587190072008671,0.18247102450864064,4.452251519550026,6.410965697707099e-5
60.13,VIC,0.215,0.234,0.193,0.115,0.038,0.149,1561,1733,0.341,0.302,0.088,0.252,0.192,0.031,0.171,0.12,0.209,0.152,0.101,0.157,0.055,0.081,0.007,0.797,52.15376318936128,7.976236810638724,1.937174733539503,0.13755677700586305,4.381657877714503,0.01870419800270994
39.02,VIC,0.231,0.22,0.188,0.13,0.042,0.177,1182,1400,0.336,0.105,0.03,0.053,0.203,0.037,0.205,0.118,0.202,0.15,0.122,0.127,0.062,0.103,0.007,0.686,44.16645346409793,-5.146453464097924,-1.227910075376661,0.10637563560637336,4.424126832645377,0.005608804652625834
56.26,NSW,0.21,0.253,0.182,0.108,0.049,0.161,1598,2167,0.336,0.389,0.128,0.452,0.167,0.031,0.19,0.119,0.235,0.126,0.099,0.168,0.058,0.08,0.009,0.834,50.69611133233039,5.563888667669609,1.3324418894442411,0.11298220199058454,4.419085050300478,0.0070668240383600185
68.94,SA,0.221,0.187,0.21,0.15,0.049,0.146,1076,1157,0.357,0.109,0.032,0.057,0.21,0.041,0.209,0.171,0.12,0.135,0.103,0.104,0.079,0.181,0.007,0.579,67.23134137152937,1.70865862847063,0.4649174969067959,0.312882747730362,4.448378006149363,0.0030757608692987214
40.59,NSW,0.184,0.32,0.155,0.097,0.043,0.15,1601,2167,0.302,0.492,0.192,0.591,0.155,0.03,0.175,0.115,0.244,0.119,0.1,0.145,0.057,0.1,0.01,0.839,45.89251359637575,-5.302513596375746,-1.3113602037507628,0.16825229998798652,4.420135478260027,0.01087084797885708
50.41,TAS,0.214,0.215,0.2,0.145,0.046,0.178,1033,1257,0.347,0.123,0.041,0.057,0.207,0.037,0.223,0.117,0.192,0.137,0.122,0.12,0.071,0.117,0.007,0.604,45.90010272084838,4.509897279151616,1.198175950320122,0.2792840545935198,4.425484780567324,0.0173849412871667
42.48,ACT,0.231,0.225,0.192,0.113,0.031,0.154,2036,2000,0.312,0.221,0.066,0.168,0.16,0.04,0.146,0.15,0.267,0.111,0.105,0.187,0.03,0.054,0.005,0.783,43.30516141821902,-0.8251614182190252,-0.2459716069668514,0.427494191702263,4.45129147743718,0.001411790645248238
40.96,VIC,0.227,0.209,0.195,0.138,0.046,0.175,1179,1400,0.352,0.09,0.027,0.045,0.213,0.038,0.201,0.119,0.209,0.144,0.12,0.119,0.057,0.118,0.006,0.663,47.139533265187495,-6.179533265187494,-1.509876965186772,0.14788098517376652,4.409568846238277,0.012363607784282455
56.91,NSW,0.2,0.287,0.166,0.096,0.044,0.125,1817,2207,0.306,0.476,0.193,0.492,0.152,0.025,0.163,0.141,0.34,0.098,0.083,0.152,0.028,0.054,0.008,0.886,54.111773907007695,2.7982260929923015,0.682847173846138,0.14573896377611842,4.443691897804957,0.002485891294218565
65.65,NSW,0.237,0.188,0.201,0.123,0.044,0.104,2256,2500,0.398,0.324,0.08,0.26,0.185,0.028,0.149,0.171,0.315,0.103,0.082,0.152,0.025,0.051,0.006,0.871,67.98405982629802,-2.3340598262980166,-0.5792219210806868,0.1739506103601808,4.4461426591524456,0.002207801089763837
48.79,QLD,0.268,0.242,0.17,0.1,0.028,0.203,1325,1530,0.256,0.15,0.053,0.069,0.167,0.034,0.233,0.097,0.143,0.153,0.128,0.14,0.095,0.132,0.007,0.679,50.42155995497792,-1.6315599549779236,-0.393705328445516,0.12635395249194115,4.449522767735084,7.005609443783989e-4
35.28,NSW,0.246,0.294,0.156,0.085,0.033,0.187,1222,1950,0.279,0.495,0.181,0.684,0.149,0.03,0.284,0.082,0.161,0.161,0.107,0.135,0.095,0.132,0.015,0.761,42.32900334331371,-7.049003343313707,-1.9631855743968238,0.3441496546996952,4.379728877685592,0.06319974363998795
